DateChargement_jour,DateLivraison_jour,Poids
39.0,40.0,1.2916
39.0,42.0,0.2716
39.0,40.0,0.45669
39.0,40.0,0.8665
39.0,40.0,1.682
39.0,40.0,0.16523
39.0,40.0,0.72581
39.0,42.0,1.95568
39.0,40.0,0.8422
40.0,43.0,1.8475
40.0,43.0,0.47083
40.0,42.0,0.6908
40.0,43.0,4.637
40.0,44.0,1.18519
40.0,41.0,0.9588
40.0,41.0,1.4254
40.0,43.0,0.27
40.0,40.0,3.044
40.0,40.0,0.26832
40.0,41.0,0.452
40.0,41.0,0.24073
40.0,42.0,1.02564
40.0,41.0,1.3986
41.0,42.0,0.3683
41.0,43.0,0.99334
41.0,42.0,2.90209
41.0,42.0,1.47003
41.0,42.0,0.43124
41.0,42.0,1.22592
41.0,43.0,0.61489
41.0,44.0,0.99268
41.0,42.0,0.32681
41.0,42.0,2.57547
41.0,44.0,0.3533
41.0,45.0,1.43962
41.0,45.0,2.961
41.0,42.0,2.5571
42.0,43.0,2.80489
42.0,43.0,0.5106
42.0,43.0,0.52
42.0,43.0,1.3723
42.0,43.0,0.85407
42.0,44.0,0.902
42.0,43.0,0.84952
42.0,43.0,0.23445
42.0,44.0,3.88464
42.0,43.0,5.271
42.0,43.0,2.18129
42.0,43.0,0.54
42.0,43.0,2.26883
42.0,43.0,2.70739
42.0,44.0,1.3348
42.0,44.0,0.594
42.0,43.0,2.97295
43.0,47.0,5.079
43.0,44.0,0.41885
43.0,44.0,1.94593
43.0,44.0,0.12447
43.0,46.0,2.5658
43.0,44.0,3.74729
43.0,45.0,0.748
43.0,45.0,2.14297
43.0,44.0,1.06895
43.0,44.0,0.9089
43.0,44.0,4.25376
43.0,44.0,3.869
44.0,48.0,0.54273
44.0,45.0,3.01652
44.0,45.0,1.21935
44.0,46.0,0.88327
44.0,47.0,1.89056
44.0,47.0,1.023
44.0,48.0,0.38636
44.0,45.0,8.05346
44.0,48.0,0.98154
44.0,45.0,0.6205
44.0,46.0,0.5635
44.0,45.0,0.4279
44.0,45.0,2.138
44.0,45.0,0.98632
44.0,45.0,5.391
45.0,48.0,3.62151
45.0,46.0,0.3727
45.0,48.0,0.57245
45.0,45.0,1.26815
45.0,48.0,0.61204
45.0,47.0,1.64959
45.0,46.0,2.6565
45.0,46.0,0.34788
45.0,46.0,0.494
45.0,46.0,1.538
45.0,46.0,0.38562
45.0,46.0,0.3819
45.0,49.0,0.73496
45.0,47.0,0.9729
45.0,47.0,0.974
45.0,46.0,0.90412
45.0,46.0,0.12941
45.0,48.0,0.31005
46.0,48.0,0.706
46.0,47.0,0.99198
46.0,47.0,0.8224
46.0,49.0,4.13713
46.0,50.0,0.5
46.0,49.0,0.4019
46.0,47.0,0.67585
46.0,49.0,3.0799
46.0,49.0,0.152
46.0,48.0,1.02791
46.0,49.0,2.1265
46.0,47.0,1.40976
46.0,48.0,1.29208
46.0,48.0,0.9701
46.0,47.0,0.861
46.0,50.0,0.269
47.0,50.0,0.83152
47.0,48.0,1.42415
47.0,49.0,0.219
47.0,50.0,1.45529
47.0,48.0,0.32865
47.0,48.0,0.91328
47.0,50.0,0.49594
47.0,50.0,0.19887
47.0,49.0,0.32168
47.0,48.0,0.52
47.0,48.0,1.08302
47.0,48.0,1.95121
47.0,48.0,1.19684
48.0,52.0,5.8423
48.0,49.0,3.194
48.0,51.0,1.3951
48.0,49.0,0.5563
48.0,49.0,1.06018
48.0,50.0,0.2174
48.0,49.0,0.2604
48.0,49.0,1.70622
48.0,50.0,0.85607
48.0,49.0,0.45851
48.0,52.0,1.44207
48.0,49.0,1.96
48.0,50.0,0.231
48.0,50.0,2.756
48.0,50.0,0.51226
48.0,51.0,2.20664
48.0,51.0,3.677
48.0,50.0,0.70524
48.0,50.0,1.08804
48.0,50.0,0.549
48.0,49.0,2.04689
48.0,52.0,2.7355
49.0,50.0,0.955
49.0,53.0,0.73946
49.0,50.0,0.50955
49.0,50.0,0.94934
49.0,50.0,4.405
49.0,50.0,0.168
49.0,50.0,0.64137
49.0,50.0,0.41939
49.0,50.0,0.65058
49.0,52.0,0.529
49.0,50.0,4.80128
49.0,51.0,2.94812
49.0,50.0,0.3329
49.0,53.0,0.3497
49.0,50.0,0.38398
50.0,51.0,1.9
50.0,52.0,1.02788
50.0,52.0,5.95638
50.0,51.0,1.88467
50.0,51.0,0.66974
50.0,51.0,2.0356
50.0,51.0,0.886
50.0,51.0,0.5601
50.0,52.0,1.1176
50.0,51.0,3.55519
50.0,54.0,0.22888
50.0,52.0,1.29892
50.0,51.0,0.64966
50.0,51.0,0.30942
50.0,54.0,1.2698
50.0,51.0,0.63239
50.0,51.0,2.33444
50.0,51.0,0.6502
50.0,51.0,0.85024
50.0,51.0,0.48353
50.0,52.0,0.468
50.0,51.0,1.0863
50.0,51.0,0.50787
51.0,53.0,3.42933
51.0,53.0,0.81548
51.0,55.0,0.25988
51.0,53.0,1.40723
51.0,52.0,0.22
51.0,52.0,0.31895
51.0,52.0,5.15755
51.0,52.0,0.8929
51.0,52.0,1.01987
51.0,52.0,2.73606
51.0,55.0,1.4757
51.0,53.0,0.51465
51.0,55.0,3.454
51.0,52.0,1.45584
52.0,53.0,0.73174
52.0,53.0,0.20418
52.0,55.0,0.10996
52.0,55.0,6.866
52.0,53.0,0.71094
52.0,54.0,1.78
52.0,53.0,3.48769
52.0,55.0,0.828
52.0,53.0,0.17504
52.0,54.0,0.25265
52.0,53.0,1.05109
52.0,53.0,0.431
52.0,53.0,1.45734
52.0,55.0,2.244
52.0,54.0,0.308
52.0,53.0,1.281
52.0,55.0,0.16569
52.0,53.0,1.91338
52.0,53.0,2.85058
52.0,53.0,0.48405
52.0,53.0,0.26777
52.0,53.0,0.96986
52.0,53.0,0.14695
52.0,53.0,0.19416
53.0,55.0,9.15
53.0,56.0,0.37585
53.0,54.0,1.239
53.0,56.0,1.031
53.0,56.0,1.52017
53.0,54.0,3.78865
53.0,54.0,0.489
53.0,56.0,0.27538
53.0,55.0,0.20861
53.0,54.0,0.8067
53.0,55.0,0.79887
53.0,54.0,6.7363
54.0,57.0,0.209
54.0,55.0,0.188
54.0,58.0,2.7985
54.0,58.0,0.88614
54.0,58.0,1.6524
54.0,57.0,0.93851
54.0,57.0,2.1455
54.0,55.0,1.09033
54.0,55.0,1.05504
54.0,55.0,0.21862
54.0,58.0,0.35639
54.0,57.0,0.31183
54.0,58.0,1.74156
54.0,56.0,0.34923
54.0,57.0,0.337
54.0,56.0,0.9052
54.0,55.0,0.543
55.0,56.0,0.42622
55.0,58.0,4.4038
